pos	tag	func	message	source_line	has_trace	model	class_key	class_id	verdict
bucket.go:89:7	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	nil dereference in (*go.etcd.io/bbolt.Bucket).Bucket	 if b.buckets != nil {	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I.I != I {	C015b	mixed
bucket.go:90:17	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	nil dereference in (*go.etcd.io/bbolt.Bucket).Bucket	  if child := b.buckets[string(name)]; child != nil {	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x2000000000000000)	nil-deref|I I := I.I[I(I)]; I != I {	C350	FP/encoding
bucket.go:96:15	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	call to (*go.etcd.io/bbolt.Bucket).Cursor violates its nil-deref requirement	 c := b.Cursor()	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I := I.I()	C004a	FP/invariant
bucket.go:105:26	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	call to (*go.etcd.io/bbolt.Bucket).openBucket violates its nil-deref requirement	 var child = b.openBucket(v)	1	p0 = ptr-nil, p1 = (seq-val #x9000000000000002 #x9800000000000000)	nil-deref|I I = I.I(I)	C344	FP/invariant
bucket.go:106:7	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	nil dereference in (*go.etcd.io/bbolt.Bucket).Bucket	 if b.buckets != nil {	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I.I != I {	C015a	FP/encoding
bucket.go:107:5	nil-deref	(*go.etcd.io/bbolt.Bucket).Bucket	nil dereference in (*go.etcd.io/bbolt.Bucket).Bucket	  b.buckets[string(name)] = child	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I.I[I(I)] = I	C243	FP/encoding
bucket.go:190:26	nil-deref	(*go.etcd.io/bbolt.Bucket).CreateBucket	call to (*go.etcd.io/bbolt.Bucket).write violates its nil-deref requirement	 var value = bucket.write()	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I = I.I()	C054a	FP/invariant
bucket.go:259:26	nil-deref	(*go.etcd.io/bbolt.Bucket).CreateBucketIfNotExists	call to (*go.etcd.io/bbolt.Bucket).write violates its nil-deref requirement	 var value = bucket.write()	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I = I.I()	C054a	FP/invariant
bucket.go:76:27	nil-deref	(*go.etcd.io/bbolt.Bucket).Cursor	call to (*go.etcd.io/bbolt.TxStats).IncCursorCount violates its nil-deref requirement	 b.tx.stats.IncCursorCount(1)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(N)	C078	FP/invariant
bucket.go:274:13	nil-deref	(*go.etcd.io/bbolt.Bucket).DeleteBucket	nil dereference in (*go.etcd.io/bbolt.Bucket).DeleteBucket	 if lg := b.tx.db.Logger(); lg != discardLogger {	1	p0 = ptr-nil, p1 = (seq-val #xb000000000000002 #xb400000000000000)	nil-deref|I I := I.I.I.I(); I != I {	C361	FP/encoding
